Request Name,Job Title,Job Description,Department,Languages,Skills/Keywords,Add'l Skills
Bangalore Temple - Administrative Activities (Back Office) - 2846,Administrative Activities (Back Office),VCD - Bringing Poornangas. Backend data/ making calls,Bangalore Temple,NA,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Soft Skills / Articulate in communication
Bangalore Temple - Promotions - 2847,Promotions,"VCD - Coordinating video/photo shoots, managing stalls during events",Bangalore Temple,NA,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,NA
Bangalore Temple - Electrical Design Engineer - 2848,Electrical Design Engineer,"Electrical Backoffice - ""1. Autocad
2. Design electrical systems for different purposes. 
3. Oversee design work and guide the staff/volunteer""",Bangalore Temple,NA,Engineering / Electrical Engineer,NA
Bangalore Temple - Supervising Activities - 2849,Supervising Activities,"Electrical - Supervising Activities - ""Planning and Assigning activities for Sevadhars.
Supervising Work of Sevadhars.""",Bangalore Temple,NA,Construction & Fabrication / Construction Supervisor,NA
Bangalore Temple - Asset and Inventory management - 2850,Asset and Inventory management,"Electrical Store - 1. Store Data Entry
2. Managing inventory levels to meet project and maintenance requirements. 
3. Optimizing inventory processes, including ordering, receiving, and storage.",Bangalore Temple,NA,General / Inventory,NA
Bangalore Temple - Customer Support Representatives - 2851,Customer Support Representatives,"Electrical - Consumer support, Advance Excel, Jira service desk activities",Bangalore Temple,NA,Media and Communication / BPO,Basic Computer Skills / Basic Computer (MS Office and Email) Skills
Bangalore Temple - Electrical Maintenance Support - 2852,Electrical Maintenance Support,"Electrical - ""Support in maintenance of electrical equipment across the ashram.
Participant will support in following areas.
1. Electrical Maintenance support 
2. Program Support""",Bangalore Temple,NA,General / Electrician,NA
Bangalore Temple - Pharmacist - 2854,Pharmacist,medical - for pharmacy,Bangalore Temple,NA,Medical / Pharmacist,NA
Bangalore Temple - Dining Support - 2855,Dining Support,For Bhiksha Hall,Bangalore Temple,NA,Soft Skills / Fit for Physical Seva,NA
Bangalore Temple - Administrative Activities (Back Office) - 2856,Administrative Activities (Back Office),Security & Parking - Security Backoffice. Backoffice work,Bangalore Temple,NA,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,NA
Bangalore Temple - On ground Support - 2857,On ground Support,"Field mobilization - Kannada proficiency (reading, written and spoken language); must be willing to travel in the field and engage with farmers; computer skills.
Farmer mobilization",Bangalore Temple,NA,Soft Skills / Articulate in communication,NA
Bangalore Temple - Coordinating Activities - 2858,Coordinating Activities,Event Management - Excellent written and spoken skills in Kannada and English; computer skills,Bangalore Temple,NA,Soft Skills / Articulate in communication,NA
Bangalore Temple - Civil Estimators - 2859,Civil Estimators,Civil Engineer - Spoken skills in Kannada and English; computer skills Experience working in rural communities; experience in watershed engineering projects,Bangalore Temple,NA,Construction & Fabrication / Civil Engineer,NA
Bangalore Temple - Session Facilitator - 2860,Session Facilitator,"Trainer- Excellent written and spoken skills in Kannada; computer skills
Experience training rural communities- preferably farmers; hands-on experience in natural/organic farming and preparation of organic input such as jeevamrutham, agniasthram, beejamrutham, etc",Bangalore Temple,NA,Media and Communication / Communication Trainer,NA
Bangalore Temple - Site Supervisor - 2861,Site Supervisor,"Field coordinator (senior profile) - Supervision of field implementation of watershed projects; spoken & written Kannada and English language skills; interpersonal skills and community mobilization; govt. liaison; computer skills; preparation of DPR; good to have experience in Livelihoods
About 15 years of hands-on experience in Watershed Development",Bangalore Temple,NA,Construction & Fabrication / Construction Supervisor,NA
Bangalore Temple - Nursery Support - 2862,Nursery Support,"Nursery management - Experience in tending to plants, gardening; must be willing to learn and execute organic input preparation, loading and offloading saplings and all plant-care related aspects",Bangalore Temple,NA,Environment / Agriculture/ Farmer,Soft Skills / Fit for Physical Seva
Bangalore Temple - Business Analyst (BA) - 2863,Business Analyst (BA),"Business Process - process analysis, optimization, documentation & Six Sigma",Bangalore Temple,NA,IT / Business Analyst,NA
Sadhanapada - Administrative Activities (Back Office) - 2864,Administrative Activities (Back Office),Seva.,Sadhanapada,NA,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,"Soft Skills / Articulate in communication,Soft Skills / Enthusiastic"
Isha Bhiksha - Chartered Accountant - 2865,Chartered Accountant,Coordinate CSR Projects: Monitoring and compliance of outreach projects' fund utilisation as agreed with the donor(s).,Isha Bhiksha,"English (UK),Hindi / हिंदी,Tamil","Accounting / Chartered Accountant,Corporate / Financial & Accounting Manager,Soft Skills / Strong Interpersonal skills (Coordinator)","Office Assistant / Admin Assistant,Environment / Agriculture/ Farmer"
Sadhanapada - Hindi Translator - 2866,Hindi Translator,Programs Team - Requirement,Sadhanapada,NA,Media and Communication / Translator,NA
Global Languages Publications - Translators - 2867,Translators,lithuanian translator,Global Languages Publications,Lithuanian / Lietuvių kalba,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,NA
Isha Sacred Walks - Promotions - 2868,Promotions,Researching and implementing the best avenues to promote the yatras.,Isha Sacred Walks,Hindi / हिंदी,Emedia / Active on Social Media,"Soft Skills / Articulate in communication,Emedia / Social Media Campaigns"
Isha Sacred Walks - Content Writer - 2869,Content Writer,Creative writing for Social Media and Yatra materials,Isha Sacred Walks,Hindi / हिंदी,Media and Communication / Content Writer,"Media and Communication / Creative Writer,Media and Communication / Editor"
Isha Home School - Computer Teacher - 2870,Computer Teacher,"Anyone with programming experience and willing to learn and teach students. Someone with industry experience would be great. 

Core Java Or 
Industry experience in machine learning/AI/Web development Or 
knowledgeable in hobby projects with Raspberry pi/Arduino is highly desirable.",Isha Home School,NA,Engineering / Computer Science Engineer,NA
Sadhanapada - Project Manager - 2871,Project Manager,Sadhanapada Indian Application - Inter-team Coordination,Sadhanapada,NA,Soft Skills / Strong Interpersonal skills (Coordinator),NA
Sadhanapada - Growth Strategist - 2872,Growth Strategist,Sadhanapada Indian Applications - Process Improvement,Sadhanapada,NA,Corporate / Operations Manager,NA
Bangalore Temple - On ground Support - 2873,On ground Support,Temple support - Naga and YL,Bangalore Temple,NA,Soft Skills / Fit for Physical Seva,NA
IPC - Architect - 2874,Architect,"IPC MSR - helping in drawing with MSR should knw CAD skech up, Adobe illustrator",IPC,NA,Soft Skills / Strong Interpersonal skills (Coordinator),"Soft Skills / Articulate in communication,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Soft Skills / Soft-spoken and cordial"
IPC - Administrative Activities (Back Office) - 2875,Administrative Activities (Back Office),"IPC MSR Back Office -

3 volunteers for ""1. Fixing and Participating in calls and taking meeting notes 
2. Following up on the action items with the verticals coord through calls""

1 volunteer for ""Enquiries handling & converting as registration for IE/Hathayoga/Free Yoga""",IPC,NA,Basic Computer Skills / Data Entry skills,"Soft Skills / Articulate in communication,Basic Computer Skills / Basic Computer (MS Office and Email) Skills,Soft Skills / Soft-spoken and cordial,Soft Skills / Strong Interpersonal skills (Coordinator)"
IPC - Project Manager - 2876,Project Manager,IPC MSR - Project management skill IT,IPC,NA,"Emedia / Digital Marketing,Corporate / Marketing & Branding Executive","Media and Communication / Content Writer,Media and Communication / Creative Writer"
Sadhanapada - Teacher - Others - 2877,Teacher - Others,Programs team - Hatha yoga teachers support,Sadhanapada,NA,Soft Skills / Fit for Physical Seva,NA
Isha Samskriti - Teacher - Others - 2878,Teacher - Others,Teach Kalari to students,Isha Samskriti,NA,Education / Teacher - Others,NA
IPC - Chennai & Kerala - Guiding Visitors - 2879,Guiding Visitors,"IPC Kerala - ""Meeting guests, Coordinating in Ashram visit on individual level / in a group, Influencers(On Weekends)
Phone activity, Registration and calling, Backend for Promotions for Kerala Region""",Isha Programs and Communications / IPC - Chennai & Kerala,"Malayalam,English (US)",Soft Skills / Articulate in communication,"Basic Computer Skills / Data Entry skills,Soft Skills / Fit for Physical Seva,Soft Skills / Soft-spoken and cordial"
